#Longitude Latitude Depth_(km) mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) Seismic_moment_Mo Magnitude_Mw Strike_A Dip_A Rake_A Strike_B Dip_B Rake_B Slip_trend_A Slip_plunge_A Slip_trend_B Slip_plunge_B Trend_P Plunge_P Trend_B Plunge_B Trend_T Plunge_T fclvd Isotropic Iso_ratio u_Hudson v_Hudson X_Kaverina Y_Kaverina ID rupture_type
-27.45 -56.02 57.6 -0.331 1.25 -0.914 -4.04 -4.56 1.11 19.0 6.29293e+19 2.5 294.761 11.9208 -15.5855 40.0259 86.8186 -101.494 310.026 -3.1814 204.761 -78.0792 298.107 46.9787 40.6724 11.4764 140.743 40.739 0.118065 1.66667e+16 0.000264847 -0.236631 0.000250587 -0.0567341 -0.411414 201904051614A N
122.56 -1.85 12.0 0.248 1.62 -1.87 0.041 -0.318 0.127 20.0 1.79174e+20 2.8 43.2418 83.2008 -174.943 312.642 84.9784 -6.8255 222.642 -5.02158 313.242 -6.79918 267.849 8.37248 96.464 81.5333 358.033 1.25032 0.153178 -6.66667e+16 -0.000372078 0.30705 -0.000346932 -0.095855 0.809547 201904121140A SS
-81.05 -1.99 16.1 1.42 -0.02 -1.4 0.212 -2.45 0.17 19.0 2.83985e+19 2.2 351.372 15.0247 86.6988 174.79 75.0008 90.8855 264.79 14.9992 81.3718 74.9753 264.067 29.9954 354.56 0.855336 86.0415 59.9898 0.000222552 0.0 0.0 -0.000445104 -2.22045e-16 0.273017 -0.575375 201903310704A R
126.2 10.35 43.3 1.31 0.165 -1.47 0.225 0.563 0.193 19.0 1.53524e+19 2.1 160.398 35.9789 69.3495 5.37027 56.6508 104.361 95.3703 33.3492 250.398 54.0211 85.093 10.5731 177.359 11.9575 314.694 73.9332 0.0792706 1.66667e+16 0.00108561 0.156447 0.00104687 0.582666 -0.315894 201903081506A R
151.06 -5.94 47.6 2.16 -2.36 0.201 0.754 -0.277 -0.649 19.0 2.49083e+19 2.2 243.771 38.4098 70.1845 88.4663 54.2327 105.044 178.466 35.7673 333.771 51.5902 167.783 8.09295 259.538 12.1581 44.8946 75.3255 0.0996664 3333330000000000.0 0.000133824 0.199077 0.000127703 0.622828 -0.298834 201903301120A R
-81.13 13.22 12.0 -0.087 -0.731 0.818 0.018 -0.091 0.892 19.0 1.18735e+19 2.0 249.535 85.5948 0.234074 159.517 89.7666 175.595 249.517 0.233383 339.535 4.40523 204.611 2.94817 336.49 85.5886 114.441 3.27871 0.0720239 0.0 0.0 -0.144048 1.4803e-16 0.00450045 0.850453 201811250340A SS
152.13 -3.33 372.2 -4.72 3.88 0.837 1.65 -0.223 0.757 19.0 4.72884e+19 2.4 71.5704 35.4765 -99.5189 263.205 55.0838 -83.2783 173.205 -34.9162 341.57 -54.5235 198.158 78.6861 79.3462 5.50757 348.387 9.85196 0.141944 -1e+16 -0.000211468 0.284285 -0.000198115 -0.617151 -0.422451 201902171435A N
146.05 19.01 139.0 -0.123 0.632 -0.509 -0.926 0.241 1.06 19.0 1.54142e+19 2.1 195.093 51.3343 -175.996 102.589 86.875 -38.734 12.589 -3.12501 105.093 -38.6657 51.5568 28.707 278.701 51.1599 155.521 23.7806 0.0281383 -341.333 -2.21441e-17 -0.0562766 3.70074e-17 -0.0550706 0.278061 201902121234A SS-N
-25.08 -56.79 17.7 3.9 -0.101 -3.8 -0.843 2.62 1.3 19.0 4.90868e+19 2.4 162.638 27.9192 90.3174 342.279 62.0812 89.8318 72.2792 27.9188 252.638 62.0808 72.4036 17.0811 342.358 0.148624 251.874 72.9182 0.0613302 -3333330000000000.0 -6.79069e-05 0.122792 -6.59168e-05 0.50446 -0.547356 201811152002A R
-35.87 35.26 16.8 -0.078 0.965 -0.887 -0.316 0.223 1.98 19.0 2.22082e+19 2.2 192.868 80.6281 -175.813 102.185 85.8689 -9.39656 12.185 -4.13114 102.868 -9.37192 57.2123 9.56037 258.661 79.7429 147.833 3.68134 0.0121698 0.0 0.0 -0.0243397 0.0 -0.078113 0.76924 201902141957A SS
